rank,odds,old,jockey_weight,frame_order,horse_weight
0,4.7,2,54,1,490
0,4.7,3,51,7,438
0,162.3,4,55,6,464
0,3.9,3,53,5,484
1,3.1,3,53,3,468
1,9.8,3,53,7,452
0,45.4,4,54,2,454
0,22.2,4,57,5,462
0,1.3,3,54,1,476
0,16.7,4,55,7,424
0,3.5,4,57,1,508
0,5.7,3,52,3,486
1,1.8,3,54,6,500
0,2.7,4,56,7,478
0,2.5,3,53,2,464
0,3.7,5,54,6,508
1,11.0,5,51,1,468
1,27.9,5,51,5,518
0,2.9,4,57,4,462
0,4.4,4,57,8,526
0,92.1,7,58,2,512
0,6.3,4,57,3,484
0,4.8,5,55,1,442
0,13.5,4,57,6,490
1,9.9,3,53,2,420
0,3.5,2,54,7,460
0,2.1,2,54,8,440
0,4.1,2,54,3,522
1,15.9,2,54,1,436
1,10.6,2,54,8,470
0,4.1,2,52,6,462
0,8.1,3,54,8,446
0,1.7,3,56,3,488
0,48.1,3,56,2,490
1,7.6,3,54,4,522
1,31.4,3,56,3,464
0,3.4,5,60,7,452
0,2.9,0,3,3,470
0,5.1,2,54,3,490
0,11.4,2,54,2,446
0,1.8,2,54,4,516
1,72.6,2,54,5,504
1,3.0,2,54,6,444
0,5.3,2,54,3,456
0,2.3,2,54,7,440
0,2.7,2,54,2,446
1,10.9,2,54,8,430
1,150.4,2,54,7,460
0,4.3,4,57,3,472
0,3.1,4,55,1,466
0,2.1,3,53,8,456
1,95.3,4,57,6,462
1,13.6,4,57,2,524
0,6.7,4,57,6,484
0,4.0,4,56,2,522
0,2.9,3,53,7,456
0,10.8,5,57,8,504
0,3.6,4,57,3,486
1,36.5,6,57,6,482
1,26.5,5,57,6,496
0,15.4,6,52,1,488
0,3.4,5,58,8,470
0,3.9,3,52,2,434
0,20.0,6,56,7,488
1,69.7,7,56,3,502
1,28.2,7,56,5,442
0,1.7,4,57,8,468
0,6.2,3,55,5,480
0,6.4,2,54,6,428
0,2.4,2,54,8,456
0,42.0,2,54,3,434
1,22.8,2,53,6,454
1,20.0,2,54,7,446
0,6.3,2,54,4,428
0,4.7,2,54,6,412
0,281.1,2,54,7,410
1,3.0,2,54,7,440
1,79.9,2,52,2,432
0,24.0,3,54,3,434
0,8.0,3,54,7,478
